Title,ASSET_NUMBER,THERAPEUTIC_AREA,INDICATION
3D adipose sponge (AGN8001/B),AGN-8001,Aesthetics,Aesthetics Indications and Procedures
A-syn (ADARx) AzD (ADARX_NEU2/A),ADARX_NEU2,Neuroscience,Alzheimer Disease
ABBV-011 SCLC (ABBV011/A),ABBV-011,Oncology,Small Cell Lung Cancer
ABBV-101 1L CLL (ABBV101/B),ABBV-101,Oncology,Chronic Lymphocytic Leukemia
ABBV-101 2L+ CLL (ABBV101/A),ABBV-101,Oncology,Chronic Lymphocytic Leukemia
ABBV-1042 bipolar mania (ABBV1042/A),ABBV-1042,Neuroscience,Bipolar I Mania
ABBV-1047 MDD (ABBV1047/A),ABBV-1047,Neuroscience,Major Depression
ABBV-1088 PD (ABBV1088/A),ABBV-1088,Neuroscience,Parkinson Disease
ABBV-112i M4 ligand (ABBV112i/A),ABBV-112i,Neuroscience,Neurological Disorders
ABBV-113 UC (ABBV113/A),ABBV-113,Immunology,Ulcerative Colitis
ABBV-1162 bipolar mania (ABBV1162/A),ABBV-1162,Neuroscience,Bipolar I Mania
ABBV-1318 AD (ABBV1318/A),ABBV-1318,Immunology,Atopic Dermatitis
ABBV-1354 BPD (ABBV1354/A),ABBV-1354,Neuroscience,Bipolar Disorder
ABBV-1354 MDD (ABBV1354/B),ABBV-1354,Neuroscience,Major Depression
ABBV-1354 MDD maintenance (ABBV1354/D),ABBV-1354,Neuroscience,Major Depression
ABBV-1354 MDD pediatric (ABBV1354/C),ABBV-1354,Neuroscience,Major Depression
ABBV-141 SSc (ABBV141/B),ABBV-141,Immunology,Systemic Sclerosis
ABBV-142 IPF (ABBV142/A),ABBV-142,Immunology,Idiopathic Pulmonary Fibrosis
ABBV-142 PPF (ABBV142/C),ABBV-142,Immunology,Progressive Pulmonary Fibrosis
ABBV-1432 RA (ABBV1432/A),ABBV-1432,Immunology,Rheumatoid Arthritis
ABBV-1451 HS (ABBV1451/A),ABBV-1451,Immunology,Hidradenitis Suppurativa
ABBV-1466 PsA (ABBV1466/A),ABBV-1466,Immunology,Psoriatic Arthritis
ABBV-1480 1L SQ NSCLC chemo combo non-oncogene (ABBV1480/A),ABBV-1480,Oncology,Non-Small Cell Lung Cancer
ABBV-1484 NSQ NSCLC non-oncogene (ABBV1484/A),ABBV-1484,Oncology,Non-Small Cell Lung Cancer
ABBV-1484 1L MSS CRC 5FU+LV combo (ABBV1484/C),ABBV-1484,Oncology,Colorectal Cancer
ABBV-1484 2L MSS CRC 5FU+LV combo (ABBV1484/B),ABBV-1484,Oncology,Colorectal Cancer
ABBV-154 CD (ABBV154/F),ABBV-154,Immunology,Crohn Disease
ABBV-154 RA (ABBV154/G),ABBV-154,Immunology,Rheumatoid Arthritis
ABBV-154 polymyalgia rheumatica (ABBV154/C),ABBV-154,Immunology,Polymyalgia Rheumatica
ABBV-158 TIM-IR RA (ABBV158/A),ABBV-158,Immunology,Rheumatoid Arthritis
ABBV-1606 MDD (ABBV1606/A),ABBV-1606,Neuroscience,Major Depression
ABBV-1623 glabellar lines (ABBV1623/A),ABBV-1623,Aesthetics,Glabellar Lines
ABBV-166 CD (ABBV166/B),ABBV-166,Immunology,Crohn Disease
ABBV-166 PsA (ABBV166/A),ABBV-166,Immunology,Psoriatic Arthritis
ABBV-1758 AzD (ABBV1758/A),ABBV-1758,Neuroscience,Alzheimer Disease
ABBV-177 BPD (ABBV177/A),ABBV-177,Neuroscience,Bipolar Disorder
ABBV-178 dry eye (ABBV178/A),ABBV-178,Eye Care,Dry Eye
ABBV-1871 dementia-related apathy (ABBV1871/A),ABBV-1871,Neuroscience,Dementia
ABBV-1882 HIVvc off-ART (ABBV1882/A),ABBV-1882,Specialty,HIV Infection
ABBV-191 CF (ABBV191/A),ABBV-191,Specialty,Cystic Fibrosis
ABBV-2001 1L TE MM (ABBV2001/C),ABBV-2001,Oncology,Multiple Myeloma
ABBV-2001 1L TI MM (ABBV2001/B),ABBV-2001,Oncology,Multiple Myeloma
ABBV-2001 2L+ MM (ABBV2001/A),ABBV-2001,Oncology,Multiple Myeloma
ABBV-2001 PV (ABBV2001/D),ABBV-2001,Immunology,Pemphigus vulgaris
ABBV-2002 migraine (ABBV2002/A),ABBV-2002,Neuroscience,Migraine
ABBV-2002 migraine pediatric (ABBV2002/B),ABBV-2002,Neuroscience,Migraine
ABBV-2064 RVO (ABBV2064/B),ABBV-2064,Eye Care,Retinal Vein Occlusion
ABBV-2294 SSc (ABBV2294/A),ABBV-2294,Immunology,Systemic Sclerosis
ABBV-2294 TIM-IR RA (ABBV2294/B),ABBV-2294,Immunology,Rheumatoid Arthritis
ABBV-230 CD (ABBV230/B),ABBV-230,Immunology,Crohn Disease
ABBV-230 RA (ABBV230/A),ABBV-230,Immunology,Rheumatoid Arthritis
ABBV-230 UC (ABBV230/C),ABBV-230,Immunology,Ulcerative Colitis
ABBV-234 IBD (ABBV234/A),ABBV-234,Immunology,Inflammatory Bowel Disease
ABBV-243 CD (ABBV243/A),ABBV-243,Immunology,Crohn Disease
ABBV-2466 CD (ABBV2466/A),ABBV-2466,Immunology,Crohn Disease
ABBV-253 solid tumors (ABBV253/A),ABBV-253,Oncology,Solid Tumor
ABBV-277 AzD (ABBV277/A),ABBV-277,Neuroscience,Alzheimer Disease
ABBV-291 DLBCL and FL (ABBV291/A),ABBV-291,Oncology,Non-Hodgkin Lymphoma
ABBV-2920 Coronavirus S-protein mAb (HMS) (ABBV2920/A),ABBV-2920,Specialty,COVID-19
ABBV-295 obesity (ABBV295/A),ABBV-295,Specialty,Obesity
ABBV-295 obesity pediatric (ABBV295/B),ABBV-295,Specialty,Obesity
ABBV-300 1L CLL (ABBV300/A),ABBV-300,Oncology,Chronic Lymphocytic Leukemia
ABBV-300 2L CLL (ABBV300/B),ABBV-300,Oncology,Chronic Lymphocytic Leukemia
ABBV-303 NSCLC (ABBV303/A),ABBV-303,Oncology,Solid Tumor
ABBV-313 AD (ABBV313/A),ABBV-313,Immunology,Atopic Dermatitis
